postcode,state,primary_suburb,all_suburbs
0872,NT,"ANMATJERE","ANMATJERE|AMPILATWATJA|ALICE SPRINGS|ALI CURUNG|ANATYE|AMATA|ARRAWARRA HEADLAND ATITJERE|AREYONGA|BARROW CREEK|BURT PLAIN|CANTEEN CREEK|QLD 4820 CHILLA WELL|COSTELLO|DANDENONG SOUTH DAVENPORT|DE ROSE HILL|ENGAWALA|GHAN|FINKE|HAASTS BLUFF|HALE|HART|HERMANNSBURG|IMANPA|IRRUNYTJU|IWANTJA|HUGH|KANPI|KALKA|KALTJITI|KALTUKATJARA|KANPA|KINTORE|KIWIRRKURRA|LARAMBA|MANTAMARU|MIMILI|MOUNT ZEIL|MURPUTJA|MOUNT LIEBIG|NAMATJIRA|NAPPERBY STATION|NYAPARI|NYIRRIPI|PETERMANN|PAPULANKUTJA|PAPUNYA|PATJARR|PIPALYATJARA|POTTSVILLE BEACH PUKATJA|SANTA TERESA|TARA|TITJIKALA|TI TREE|QLD 4817 TJIRRKARLI|TJUKURLA|UMUWA|WATARRU|WARAKURNA|WANARN|WATINUMA|WILLOWRA|WILORA|WUTUNUGURRA|YUNYARINYI|YUELAMU|YUENDUMU|YULARA"
0873,NT,"AMOONGUNA","AMOONGUNA|ARUMBERA|CONNELLAN|HEAVITREE GAP CPA|ILPARPA|KILGARIFF|ROSS"
0874,NT,"IRLPME","IRLPME|MOUNT ECCLES SOUTH MOUNT JOHNS|UNDOOLYA"
0875,NT,"NSW 2539 FLYNN","NSW 2539 FLYNN|LARAPINTA"
0880,NT,"GAPUWIYAK","GAPUWIYAK|NHULUNBUY|YIRRKALA"
0881,NT,"NHULUNBUY","NHULUNBUY"
0885,NT,"ALYANGULA","ALYANGULA"
0886,NT,"JABIRU","JABIRU"
0909,NT,"UNIVERSITY","UNIVERSITY"
1225,NSW,"ROYAL EXCHANGE","ROYAL EXCHANGE"
1235,NSW,"SYDNEY SOUTH","SYDNEY SOUTH"
1240,NSW,"HAYMARKET","HAYMARKET"
1300,NSW,"DARLINGHURST","DARLINGHURST"
1335,NSW,"POTTS POINT","POTTS POINT"
1340,NSW,"KINGS CROSS","KINGS CROSS"
1350,NSW,"WOOLLAHRA","WOOLLAHRA"
1355,NSW,"BONDI JUNCTION","BONDI JUNCTION"
1360,NSW,"DOUBLE BAY","DOUBLE BAY"
1435,NSW,"ALEXANDRIA","ALEXANDRIA"
1445,NSW,"ROSEBERY","ROSEBERY"
1450,NSW,"CAMPERDOWN","CAMPERDOWN"
1455,NSW,"QLD 4650 BOTANY","QLD 4650 BOTANY"
1460,NSW,"MASCOT","MASCOT"
1465,NSW,"KENSINGTON","KENSINGTON"
1466,NSW,"UNSW SYDNEY","UNSW SYDNEY"
1470,NSW,"NSW 2453 DRUMMOYNE","NSW 2453 DRUMMOYNE"
1475,NSW,"MARRICKVILLE","MARRICKVILLE"
1480,NSW,"KINGSGROVE","KINGSGROVE"
1481,NSW,"HOUTMAN ABROLHOS HURSTVILLE BC","HOUTMAN ABROLHOS HURSTVILLE BC"
1485,NSW,"KOGARAH","KOGARAH"
1490,NSW,"MIRANDA","MIRANDA"
1495,NSW,"CARINGBAH","CARINGBAH"
1499,NSW,"SUTHERLAND","SUTHERLAND"
1515,NSW,"WEST CHATSWOOD","WEST CHATSWOOD"
1565,NSW,"MILSONS POINT","MILSONS POINT"
1570,NSW,"ARTARMON","ARTARMON"
1585,NSW,"CROWS NEST","CROWS NEST"
1590,NSW,"ST LEONARDS","ST LEONARDS"
1595,NSW,"LANE COVE","LANE COVE"
1630,NSW,"HORNSBY","HORNSBY"
1635,NSW,"QLD 4121","QLD 4121"
1640,NSW,"FRENCHS FOREST","FRENCHS FOREST"
1655,NSW,"MANLY","MANLY"
1660,NSW,"MONA VALE","MONA VALE"
1670,NSW,"NORTH RYDE","NORTH RYDE|NORTH RYDE BC"
1675,NSW,"GLADESVILLE","GLADESVILLE"
1680,NSW,"RYDE","RYDE"
1685,NSW,"WEST RYDE","WEST RYDE"
1700,NSW,"ERMINGTON","ERMINGTON"
1710,NSW,"EPPING","EPPING"
1715,NSW,"PENNANT HILLS","PENNANT HILLS"
1730,NSW,"SEVEN HILLS","SEVEN HILLS"
1755,NSW,"BAULKHAM HILLS","BAULKHAM HILLS"
1765,NSW,"CASTLE HILL","CASTLE HILL"
1790,NSW,"ST MARYS","ST MARYS"
1800,NSW,"ASHFIELD","ASHFIELD"
1805,NSW,"BURWOOD","BURWOOD"
1825,NSW,"LIDCOMBE","LIDCOMBE"
1835,NSW,"AUBURN","AUBURN"
1851,NSW,"WETHERILL PARK","WETHERILL PARK"
1860,NSW,"FAIRFIELD","FAIRFIELD"
1871,NSW,"LINCOLN NATIONAL PARK LIVERPOOL","LINCOLN NATIONAL PARK LIVERPOOL"
1875,NSW,"MOOREBANK","MOOREBANK"
1885,NSW,"BANKSTOWN","BANKSTOWN"
1890,NSW,"INGLEBURN","INGLEBURN"
2000,NSW,"BARANGAROO","BARANGAROO|DAWES POINT|HAYMARKET|MILLERS POINT|SYDNEY|THE ROCKS"
2001,NSW,"SYDNEY","SYDNEY"
2002,NSW,"WORLD SQUARE","WORLD SQUARE"
2006,NSW,"NSW 2758","NSW 2758"
2007,NSW,"BROADWAY","BROADWAY|ULTIMO"
2008,NSW,"CHIPPENDALE","CHIPPENDALE|DARLINGTON"
2009,NSW,"PYRMONT","PYRMONT"
2010,NSW,"QLD 4757 DARLINGHURST","QLD 4757 DARLINGHURST|SURRY HILLS"
2011,NSW,"ELIZABETH BAY","ELIZABETH BAY|SA 5700 POTTS POINT|WOOLLOOMOOLOO"
2015,NSW,"ALEXANDRIA","ALEXANDRIA|BEACONSFIELD|EVELEIGH"
2016,NSW,"REDFERN","REDFERN"
2017,NSW,"WATERLOO","WATERLOO|ZETLAND"
2018,NSW,"EASTLAKES","EASTLAKES|ROSEBERY"
2019,NSW,"BANKSMEADOW","BANKSMEADOW|BOTANY"
2020,NSW,"MASCOT","MASCOT|AIRPORT"
2021,NSW,"CENTENNIAL PARK","CENTENNIAL PARK|MOORE PARK|PADDINGTON"
2022,NSW,"BONDI JUNCTION","BONDI JUNCTION|QUEENS PARK"
2023,NSW,"NSW 2540 BELLEVUE HILL","NSW 2540 BELLEVUE HILL"
2024,NSW,"BRONTE","BRONTE|WAVERLEY"
2025,NSW,"NSW 2463 WOOLLAHRA","NSW 2463 WOOLLAHRA"
2026,NSW,"BONDI","BONDI|BONDI BEACH|NORTH BONDI|TAMARAMA"
2027,NSW,"DARLING POINT","DARLING POINT|EDGECLIFF|POINT PIPER"
2028,NSW,"DOUBLE BAY","DOUBLE BAY"
2029,NSW,"ROSE BAY","ROSE BAY"
